Link,Цена,Пешком до метро,Станция метро,Адрес,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Ремонт,Год постройки,Строительная серия,Тип дома,Аварийность,доп инфа
https://www.cian.ru/rent/flat/299776651/,Иван,4 мин.,Цветной бульвар,"['Москва', 'ЦАО', 'р-н Мещанский', 'Цветной бул.', '20/1']","43,6",25,7,"2,6 м",1 совмещенный,1 лоджия,Евроремонт,1962,Индивидуальный проект,Кирпичный,Нет,"Сдается 2-комн. квартира, 43,6 м²"
https://www.cian.ru/rent/flat/291686141/,55000,9 мин.,Петровский Парк,"['Москва', 'Петровско-Разумовский проезд', '7']",35,,,"2,8 м",1 совмещенный,1 балкон,Евроремонт,1965,Индивидуальный проект,Кирпичный,Нет,"Сдается 1-комн. квартира, 35 м²"
https://www.cian.ru/rent/flat/300966920/,135000,8 мин.,Курская,"['Москва', 'ЦАО', 'р-н Басманный', 'ул. Казакова', '7']",40,28,7,,1 совмещенный,,Дизайнерский,,,Монолитно-кирпичный,,"Сдается 2-комн. апартаменты, 40 м²"
https://www.cian.ru/rent/flat/300332140/,300000,7 мин.,Улица 1905 года,"['Москва', 'ЦАО', 'р-н Пресненский', '2-я Звенигородская ул.', '16']",57,,,,2 совмещенных,1 балкон,Косметический,2023,,,Нет,"Сдается 2-комн. квартира, 57 м²"
https://www.cian.ru/rent/flat/276076306/,71500,5 мин.,Верхние Лихоборы,"['Москва', 'Дмитровское ш.', '73Б']",26,,,,1 совмещенный,,Дизайнерский,2021,,Монолитный,Нет,"Сдается Студия, 26 м²"
https://www.cian.ru/rent/flat/301810087/,48000,6 мин.,Щёлковская,"['Москва', 'ВАО', 'р-н Гольяново', 'Красноярская ул.', '9']","35,4",17,10,"2,65 м",1 раздельный,1 лоджия,Евроремонт,,,Панельный,,"Сдается 1-комн. квартира, 35,4 м²"
https://www.cian.ru/rent/flat/302073596/,290000,6 мин.,Деловой центр,"['Москва', '1-й Красногвардейский проезд', '22с2']","61,8",,38,"3,9 м",,,,,,Монолитный,,"Сдается 2-комн. апартаменты, 61,8 м²"
https://www.cian.ru/rent/flat/301617050/,33000,10 мин.,Первомайская,"['Москва', 'Верхняя Первомайская ул.', '45А']",16,"12,5",,"3,3 м",1 совмещенный,,Евроремонт,1953,,Кирпичный,Нет,"Сдается Апартаменты-студия, 16 м²"
https://www.cian.ru/rent/flat/302121788/,Neva,6 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '22с2']",62,,38,"3,9 м",,,,2020,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 62 м²"
https://www.cian.ru/rent/flat/299233265/,610000,3 мин.,Москва-Сити,"['Москва', '1-й Красногвардейский проезд', '22с2']",80,,,,,,Косметический,2020,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 80 м²"
